model name,query index,verifcation time,verifcation memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
CloudReconfiguration-PT-304,9,0,0,NONE,FALSE,2584,3094,4,4,0.018001,5,2107,147,0,152,0,1,37,325,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,1,0,0,NONE,FALSE,2585,3095,190,389,0.02431,7884321,2097,146,0,162,0,0,14,159,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,10,0,0,NONE,FALSE,2585,3095,163,337,0.022886,0,2128,145,0,171,0,0,24,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,11,0,0,NONE,FALSE,2585,3095,157,328,0.022944,0,2135,147,0,173,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,12,0,0,NONE,FALSE,2585,3095,12,12,0.017901,0,2108,145,0,151,0,1,34,326,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,13,0,0,NONE,FALSE,2585,3095,160,333,0.022876,0,2130,147,0,172,0,0,24,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,14,0,0,NONE,FALSE,2585,3095,157,327,0.0225,0,2134,147,0,174,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,15,0,0,NONE,FALSE,2585,3095,189,389,0.023551,0,2102,146,0,157,0,0,14,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,16,0,0,NONE,FALSE,2585,3095,165,341,0.02456,0,2130,143,0,169,0,0,25,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,2,0,0,NONE,FALSE,2585,3095,173,356,0.023894,4581864,2118,146,0,166,0,0,23,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,3,0,0,NONE,FALSE,2585,3095,5,6,0.018254,7,2106,147,0,152,0,1,34,325,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,4,0,0,NONE,FALSE,2585,3095,170,345,0.023646,5352317,2126,143,0,170,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,5,0,0,NONE,FALSE,2585,3095,170,349,0.02334,4699901,2123,145,0,169,0,0,23,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,6,0,0,NONE,FALSE,2585,3095,4,4,0.018043,5,2107,147,0,151,0,1,34,325,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,7,0,0,NONE,FALSE,2585,3095,12,12,0.018055,75,2108,146,0,152,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,8,0,0,NONE,FALSE,2585,3095,4,4,0.018057,5,2107,146,0,152,0,1,34,326,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-305,9,0,0,NONE,FALSE,2585,3095,169,348,0.024078,5978047,2123,146,0,167,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,1,0,0,NONE,FALSE,2584,3094,204,415,0.021876,5639273,2084,150,0,147,0,0,13,156,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,10,0,0,NONE,FALSE,2584,3094,16,20,0.018793,0,2102,145,0,152,0,1,34,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,11,0,0,NONE,FALSE,2584,3094,161,333,0.023009,0,2130,146,0,172,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,12,0,0,NONE,FALSE,2584,3094,4,4,0.018014,0,2104,147,0,153,0,1,35,324,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,13,0,0,NONE,FALSE,2584,3094,13,14,0.018044,0,2104,147,0,154,0,1,33,326,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,14,0,0,NONE,FALSE,2584,3094,52,101,0.020757,0,2116,149,0,163,0,0,34,153,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,15,0,0,NONE,FALSE,2584,3094,163,335,0.023151,0,2129,146,0,171,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,16,0,0,NONE,FALSE,2584,3094,201,408,0.024621,0,2094,142,0,151,0,0,13,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,2,0,0,NONE,FALSE,2584,3094,11,11,0.018215,39,2108,147,0,152,0,1,34,324,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,3,0,0,NONE,FALSE,2584,3094,66,136,0.016509,439,2101,147,0,151,0,0,24,153,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,4,0,0,NONE,FALSE,2584,3094,195,399,0.024512,5216760,2098,144,0,154,0,0,14,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,5,0,0,NONE,FALSE,2584,3094,160,332,0.022987,1230522,2133,145,0,172,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,6,0,0,NONE,FALSE,2584,3094,217,441,0.016235,8446531,2072,147,0,140,0,0,4,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,7,0,0,NONE,FALSE,2584,3094,196,393,0.025015,3921252,2099,143,0,157,0,0,14,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,8,0,0,NONE,FALSE,2584,3094,155,312,0.022861,1419287,2141,142,0,180,0,0,33,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-306,9,0,0,NONE,FALSE,2584,3094,174,353,0.023443,1951173,2120,144,0,167,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,1,0,0,NONE,FALSE,2584,3094,214,435,0.015913,9111037,2080,144,0,143,0,0,4,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,10,0,0,NONE,FALSE,2584,3094,14,15,0.018029,0,2104,147,0,153,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,11,0,0,NONE,FALSE,2584,3094,188,391,0.024799,0,2104,145,0,156,0,0,13,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,12,0,0,NONE,FALSE,2584,3094,171,348,0.023599,0,2123,144,0,168,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,13,0,0,NONE,FALSE,2584,3094,14,16,0.018146,0,2103,146,0,154,0,1,32,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,14,0,0,NONE,FALSE,2584,3094,6,7,0.018258,0,2104,147,0,153,0,1,36,324,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,15,0,0,NONE,FALSE,2584,3094,210,434,0.015577,0,2080,147,0,141,0,0,4,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,16,0,0,NONE,FALSE,2584,3094,164,336,0.02284,0,2130,144,0,172,0,0,23,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,2,0,0,NONE,FALSE,2584,3094,16,19,0.018389,323,2102,146,0,153,0,1,33,326,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,3,0,0,NONE,FALSE,2584,3094,186,383,0.023857,4386555,2105,146,0,159,0,0,14,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,4,0,0,NONE,FALSE,2584,3094,161,333,0.023341,2177355,2132,145,0,171,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,5,0,0,NONE,FALSE,2584,3094,12,13,0.018183,82,2107,143,0,151,0,1,33,328,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,6,0,0,NONE,FALSE,2584,3094,165,338,0.023014,1613147,2126,146,0,173,0,0,23,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,7,0,0,NONE,FALSE,2584,3094,12,13,0.018213,57,2105,146,0,151,0,1,33,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,8,0,0,NONE,FALSE,2584,3094,5,6,0.020705,7,2106,147,0,151,0,2,36,325,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-307,9,0,0,NONE,FALSE,2584,3094,16,19,0.018824,195,2101,146,0,152,0,1,34,326,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,1,0,0,NONE,FALSE,2585,3095,162,336,0.023002,5266166,2128,147,0,171,0,0,24,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,10,0,0,NONE,FALSE,2585,3095,12,12,0.018117,0,2109,144,0,152,0,1,34,326,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,11,0,0,NONE,FALSE,2585,3095,13,14,0.018076,0,2106,147,0,152,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,12,0,0,NONE,FALSE,2585,3095,12,12,0.017911,0,2107,147,0,152,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,13,0,0,NONE,FALSE,2585,3095,187,385,0.024485,0,2104,147,0,160,0,0,14,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,14,0,0,NONE,FALSE,2585,3095,187,386,0.024157,0,2105,146,0,159,0,0,14,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,15,0,0,NONE,FALSE,2585,3095,13,14,0.017954,0,2108,147,0,153,0,1,34,323,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,16,0,0,NONE,FALSE,2585,3095,157,327,0.022714,0,2136,146,0,174,0,0,23,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,2,0,0,NONE,FALSE,2585,3095,163,337,0.023234,5526423,2130,145,0,170,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,3,0,0,NONE,FALSE,2585,3095,204,421,0.017113,17310924,2089,145,0,147,0,0,4,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,4,0,0,NONE,FALSE,2585,3095,162,334,0.023233,5164296,2127,144,0,175,0,0,24,159,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,5,0,0,NONE,FALSE,2585,3095,4,4,0.018026,5,2107,146,0,152,0,1,34,326,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,6,0,0,NONE,FALSE,2585,3095,162,336,0.023263,5467492,2130,146,0,173,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,7,0,0,NONE,FALSE,2585,3095,167,344,0.023263,6126656,2126,146,0,169,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,8,0,0,NONE,FALSE,2585,3095,182,378,0.023612,8166252,2114,143,0,159,0,0,14,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-308,9,0,0,NONE,FALSE,2585,3095,15,18,0.018555,322,2102,144,0,151,0,1,34,330,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,1,0,0,NONE,FALSE,2585,3095,13,13,0.01816,109,2105,146,0,153,0,1,34,326,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,10,0,0,NONE,FALSE,2585,3095,18,22,0.019298,0,2097,145,0,152,0,1,33,331,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,11,0,0,NONE,FALSE,2585,3095,159,331,0.023505,0,2134,145,0,171,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,12,0,0,NONE,FALSE,2585,3095,157,328,0.022936,0,2135,147,0,173,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,13,0,0,NONE,FALSE,2585,3095,164,339,0.023185,0,2126,147,0,171,0,0,24,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,14,0,0,NONE,FALSE,2585,3095,214,398,0.024595,0,2086,138,0,161,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,15,0,0,NONE,FALSE,2585,3095,188,388,0.023958,0,2105,144,0,155,0,0,14,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,16,0,0,NONE,FALSE,2585,3095,12,11,0.017886,0,2108,147,0,152,0,1,34,324,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,2,0,0,NONE,FALSE,2585,3095,20,24,0.018731,731,2094,143,0,150,0,1,34,334,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,3,0,0,NONE,FALSE,2585,3095,154,322,0.022618,2810600,2138,147,0,175,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,4,0,0,NONE,FALSE,2585,3095,156,327,0.02277,4736856,2135,147,0,173,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,5,0,0,NONE,FALSE,2585,3095,4,4,0.020591,5,2109,144,0,150,0,2,34,328,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,6,0,0,NONE,FALSE,2585,3095,19,24,0.019121,786,2085,147,0,162,0,1,34,340,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,7,0,0,NONE,FALSE,2585,3095,15,18,0.018286,428,2103,144,0,150,0,1,34,329,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,8,0,0,NONE,FALSE,2585,3095,18,23,0.019207,725,2103,141,0,154,0,1,32,329,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-309,9,0,0,NONE,FALSE,2585,3095,14,15,0.017962,161,2105,144,0,151,0,1,34,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,1,0,0,NONE,FALSE,2585,3095,12,12,0.018951,75,2107,147,0,154,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,10,0,0,NONE,FALSE,2585,3095,184,380,0.023837,0,2108,146,0,157,0,0,14,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,11,0,0,NONE,FALSE,2585,3095,167,344,0.023038,0,2123,146,0,168,0,0,24,156,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,12,0,0,NONE,FALSE,2585,3095,13,14,0.018094,0,2107,144,0,150,0,1,34,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,13,0,0,NONE,FALSE,2585,3095,13,14,0.018044,0,2108,143,0,150,0,1,33,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,14,0,0,NONE,FALSE,2585,3095,158,330,0.022845,0,2134,147,0,173,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,15,0,0,NONE,FALSE,2585,3095,163,336,0.023571,0,2129,146,0,171,0,0,23,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,16,0,0,NONE,FALSE,2585,3095,169,346,0.023085,0,2126,143,0,169,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,2,0,0,NONE,FALSE,2585,3095,234,439,0.02455,9214661,2102,100,0,153,0,0,13,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,3,0,0,NONE,FALSE,2585,3095,161,334,0.023016,3028618,2135,144,0,171,0,0,24,152,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,4,0,0,NONE,FALSE,2585,3095,202,418,0.017778,7865058,2091,146,0,150,0,0,4,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,5,0,0,NONE,FALSE,2585,3095,201,403,0.024601,10781189,2095,143,0,156,0,0,14,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,6,0,0,NONE,FALSE,2585,3095,14,15,0.017961,144,2104,146,0,152,0,1,33,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,7,0,0,NONE,FALSE,2585,3095,213,436,0.016082,13357867,2077,148,0,143,0,0,4,156,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,8,0,0,NONE,FALSE,2585,3095,16,20,0.01831,424,2103,142,0,151,0,1,34,330,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-310,9,0,0,NONE,FALSE,2585,3095,184,380,0.0237,7025801,2107,146,0,159,0,0,14,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,1,0,0,NONE,FALSE,2585,3095,154,323,0.022788,1737224,2137,147,0,175,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,10,0,0,NONE,FALSE,2585,3095,164,336,0.023185,0,2129,145,0,171,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,11,0,0,NONE,FALSE,2585,3095,18,22,0.018164,0,2099,146,0,152,0,1,34,328,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,12,0,0,NONE,FALSE,2585,3095,19,25,0.0186,0,2097,145,0,151,0,1,34,330,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,13,0,0,NONE,FALSE,2585,3095,13,14,0.018169,0,2106,145,0,151,0,1,34,327,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,14,0,0,NONE,FALSE,2585,3095,13,14,0.018383,0,2106,147,0,153,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,15,0,0,NONE,FALSE,2585,3095,214,440,0.016387,0,2078,145,0,142,0,0,4,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,16,0,0,NONE,FALSE,2585,3095,161,331,0.023107,0,2131,146,0,175,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,2,0,0,NONE,FALSE,2585,3095,156,327,0.023046,2327065,2136,147,0,173,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,3,0,0,NONE,FALSE,2585,3095,166,339,0.023766,3903563,2128,147,0,171,0,0,23,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,4,0,0,NONE,FALSE,2585,3095,12,12,0.018199,79,2108,147,0,152,0,1,34,324,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,5,0,0,NONE,FALSE,2585,3095,17,22,0.019494,509,2100,142,0,152,0,1,33,332,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,6,0,0,NONE,FALSE,2585,3095,156,327,0.02295,2327065,2136,147,0,173,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,7,0,0,NONE,FALSE,2585,3095,165,342,0.023099,2812376,2126,147,0,168,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,8,0,0,NONE,FALSE,2585,3095,14,15,0.018099,122,2106,146,0,152,0,1,34,324,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-311,9,0,0,NONE,FALSE,2585,3095,13,14,0.018178,109,2106,147,0,151,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,1,0,0,NONE,FALSE,2585,3095,4,4,0.020694,5,2110,147,0,152,0,2,34,324,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,10,0,0,NONE,FALSE,2585,3095,19,25,0.018635,0,2099,144,0,152,0,1,34,329,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,11,0,0,NONE,FALSE,2585,3095,17,20,0.018243,0,2097,147,0,154,0,1,34,330,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,12,0,0,NONE,FALSE,2585,3095,13,13,0.017878,0,2106,147,0,152,0,1,34,325,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,13,0,0,NONE,FALSE,2585,3095,193,395,0.024185,0,2105,140,0,154,0,0,14,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,14,0,0,NONE,FALSE,2585,3095,18,21,0.018487,0,2100,141,0,151,0,1,33,332,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,15,0,0,NONE,FALSE,2585,3095,171,347,0.023139,0,2123,144,0,167,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,16,0,0,NONE,FALSE,2585,3095,207,425,0.017391,0,2086,144,0,146,0,0,4,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,2,0,0,NONE,FALSE,2585,3095,8,8,0.019764,26,2107,147,0,153,0,1,34,324,3,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-312,3,0,0,NONE,FALSE,2585,3095,162,335,0.022944,3958549,2131,145,0,171,0,0,24,154,1,0,0,0,0,0,0,0,0
