"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M"
"ASLink-PT-02a","14","300.01","213152","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","300.00","167400","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","94.70","47572","FALSE","FALSE","626","1008","465","872","114","28","32","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02a","2","300.01","233140","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","3","300.00","127648","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","0.68","7676","FALSE","FALSE","626","1008","465","872","114","28","32","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02a","5","0.67","7676","FALSE","FALSE","626","1008","465","872","114","28","32","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02a","6","300.00","130008","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","300.01","220728","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","0.77","7680","FALSE","FALSE","626","1008","467","874","112","28","32","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02a","9","300.00","154568","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","3.33","9272","FALSE","FALSE","1242","1621","491","895","687","46","32","10","0","3","0","0","0","0","0","0","0"
"ASLink-PT-02b","10","300.01","195272","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","3.61","9284","TRUE","FALSE","1242","1621","477","884","696","47","35","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02b","12","7.65","11004","TRUE","FALSE","1242","1621","493","896","688","43","32","11","0","3","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","3.45","9284","FALSE","FALSE","1242","1621","475","882","698","47","35","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02b","14","300.01","213100","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","15","300.00","166524","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","16","3.47","9284","TRUE","FALSE","1242","1621","475","882","698","47","35","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02b","2","300.01","171580","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","3","13.99","14880","TRUE","FALSE","1242","1621","499","901","682","45","30","10","0","3","0","0","0","0","0","0","0"
"ASLink-PT-02b","4","3.46","9276","FALSE","FALSE","1242","1621","479","886","695","46","35","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02b","5","3.62","9284","FALSE","FALSE","1242","1621","476","883","697","47","35","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02b","6","300.01","180176","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","7","29.07","23740","TRUE","FALSE","1242","1621","487","893","689","46","34","10","0","3","0","0","0","0","0","0","0"
"ASLink-PT-02b","8","3.84","9272","FALSE","FALSE","1242","1621","477","884","696","47","35","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-02b","9","3.40","9284","FALSE","FALSE","1242","1621","485","890","690","47","33","11","0","4","0","0","0","0","0","0","0"
"ASLink-PT-03a","1","300.01","160916","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","10","300.00","134908","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","11","300.00","128104","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","12","29.84","17352","FALSE","FALSE","821","1281","596","1093","159","38","45","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03a","13","300.00","148780","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","14","1.40","8696","FALSE","FALSE","821","1281","597","1094","158","38","45","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03a","15","1.29","8700","TRUE","FALSE","821","1281","597","1094","159","37","45","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03a","16","300.00","119916","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","2","1.10","8636","FALSE","FALSE","821","1281","598","1094","158","38","44","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03a","3","300.01","143920","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","4","300.00","180752","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","5","300.00","98104","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","6","300.00","133764","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","7","300.00","153956","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","8","1.32","8644","FALSE","FALSE","821","1281","597","1094","158","38","45","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03a","9","300.00","244784","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","1","300.01","189428","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","10","6.01","9772","FALSE","FALSE","1638","2094","612","1109","930","64","49","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03b","11","300.01","180240","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","12","5.65","9776","FALSE","FALSE","1638","2094","617","1111","928","64","48","14","0","4","0","0","0","0","0","0","0"
"ASLink-PT-03b","13","5.66","9772","FALSE","FALSE","1638","2094","610","1107","932","63","49","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03b","14","10.71","11476","FALSE","FALSE","1638","2094","610","1107","933","62","49","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03b","15","300.00","158128","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","16","300.00","136576","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","2","29.37","22528","FALSE","FALSE","1638","2094","636","1128","913","62","45","13","0","4","0","0","0","0","0","0","0"
"ASLink-PT-03b","3","300.00","153432","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","4","5.66","9780","TRUE","FALSE","1638","2094","610","1107","932","64","49","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03b","5","300.00","136812","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","6","5.65","9772","FALSE","FALSE","1638","2094","617","1112","927","63","48","14","0","5","0","0","0","0","0","0","0"
"ASLink-PT-03b","7","7.75","9796","FALSE","FALSE","1638","2094","609","1106","933","64","49","14","0","6","0","0","0","0","0","0","0"
"ASLink-PT-03b","8","300.00","133556","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","9","5.64","9776","FALSE","FALSE","1638","2094","615","1111","930","62","48","14","0","6","0","0","0","0","0","0","0"
