,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
287,ClientsAndServers-PT-N0001P0,0.28,1.0,0.28,2007,2007,1.0,6.7e-05,FALSE
65,MultiCrashLeafsetExtension-PT-S16C02,0.3,1.04,0.28846153846153844,28431,28431,1.0,0.022181,FALSE
18,MultiCrashLeafsetExtension-PT-S24C02,1.32,4.4,0.3,91760,91760,1.0,0.148536,TRUE
27,MultiCrashLeafsetExtension-PT-S16C07,0.42,1.22,0.3442622950819672,22721038,22721038,1.0,0.104021,FALSE
207,PhilosophersDyn-PT-20,0.37,1.02,0.3627450980392157,12961311,12961311,1.0,0.942356,TRUE
190,MultiCrashLeafsetExtension-PT-S32C03,2.14,5.65,0.3787610619469027,3387909,3387909,1.0,0.553565,FALSE
55,MultiCrashLeafsetExtension-PT-S24C03,0.93,2.35,0.39574468085106385,1097500,1097500,1.0,0.158362,FALSE
111,MultiCrashLeafsetExtension-PT-S16C05,2.07,5.15,0.4019417475728155,4029327,4029327,1.0,0.061569,TRUE
142,PhilosophersDyn-PT-20,0.84,1.96,0.42857142857142855,12961311,12961311,1.0,0.958945,TRUE
44,MultiCrashLeafsetExtension-PT-S24C04,1.12,2.54,0.44094488188976383,8411644,8411644,1.0,0.228889,TRUE
448,ASLink-PT-01b,0.74,1.67,0.4431137724550898,136141919,131438923,1.0357808470478718,0.004346,TRUE
9,MultiCrashLeafsetExtension-PT-S24C02,0.7,1.54,0.45454545454545453,91639,91639,1.0,0.105977,FALSE
19,MultiCrashLeafsetExtension-PT-S24C02,1.78,3.79,0.46965699208443273,91653,91653,1.0,0.108791,TRUE
231,NeighborGrid-PT-d5n4m1t35,5.1,10.76,0.4739776951672862,200280065,200280065,1.0,300.0,TRUE
107,MultiCrashLeafsetExtension-PT-S16C05,0.64,1.33,0.48120300751879697,4039938,4039938,1.0,0.061941,FALSE
197,MultiCrashLeafsetExtension-PT-S32C02,0.69,1.42,0.48591549295774644,212030,212030,1.0,0.345927,TRUE
10,MultiCrashLeafsetExtension-PT-S24C02,0.77,1.57,0.49044585987261147,91788,91788,1.0,0.107477,FALSE
450,ASLink-PT-01b,0.86,1.75,0.49142857142857144,71514204,68719727,1.0406648443175568,0.004362,FALSE
118,MultiCrashLeafsetExtension-PT-S32C02,3.77,7.45,0.5060402684563758,211962,211962,1.0,0.349422,FALSE
7,MultiCrashLeafsetExtension-PT-S24C02,0.93,1.83,0.5081967213114754,91637,91637,1.0,0.105685,FALSE
61,MultiCrashLeafsetExtension-PT-S16C07,0.62,1.19,0.5210084033613446,22690231,22690231,1.0,0.104257,FALSE
101,MultiCrashLeafsetExtension-PT-S16C06,0.87,1.65,0.5272727272727273,10813343,10813343,1.0,0.08124,FALSE
