,model name,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,with-r-last@reduce time,base-rules@answer
473,CloudReconfiguration-PT-311,3.61,0.54,6.685185185185184,2812376,292124,9.627336336624174,0.029316,FALSE
449,ASLink-PT-01b,1.93,0.27,7.148148148148147,38435999,36987131,1.0391722191158865,0.004294,FALSE
474,CloudReconfiguration-PT-314,6.74,0.92,7.326086956521739,5689606,541733,10.50260183522141,0.032814,TRUE
203,NQueens-PT-20,1.06,0.08,13.25,123,123,1.0,0.000644,TRUE
478,HealthRecord-PT-07,4.15,0.29,14.31034482758621,13204078,118548,111.38170192664575,0.002407,FALSE
204,NQueens-PT-30,1.07,0.07,15.285714285714285,2,2,1.0,0.001562,FALSE
480,HealthRecord-PT-10,4.5,0.29,15.517241379310345,846671867,159651,5303.266919718636,0.001922,FALSE
479,HealthRecord-PT-07,3.8,0.17,22.352941176470587,56294869,383089,146.9498445530934,0.001887,TRUE
462,CloudReconfiguration-PT-302,2.68,0.04,67.0,6291726,955629,6.58385838018729,0.029954,FALSE
459,ShieldRVt-PT-004B,10.01,0.06,166.83333333333334,31245062,13206915,2.365810789272135,0.000477,FALSE
