,model name,query index,base-rules@verification time,with-r@verification time,veri time ratio,base-rules@state space size,with-r@state space size,state space ratio,with-r@reduce time,base-rules@answer,type
104,MultiCrashLeafsetExtension-PT-S16C03,1,0.81,0.96,0.8437500000000001,226526,226526,1.0,0.03319,TRUE,EF
114,MultiCrashLeafsetExtension-PT-S16C07,16,0.61,0.72,0.8472222222222222,22693585,22693585,1.0,0.100193,FALSE,EF
83,MultiCrashLeafsetExtension-PT-S16C05,7,2.87,3.38,0.849112426035503,4028223,4028223,1.0,0.065632,FALSE,AG
432,GPPP-PT-C0001N0000001000,16,1.15,1.35,0.8518518518518517,10904,10904,1.0,8.8e-05,FALSE,AG
435,GPPP-PT-C0001N0000001000,2,0.81,0.95,0.8526315789473685,6818299,6818299,1.0,6.1e-05,TRUE,EF
137,MultiCrashLeafsetExtension-PT-S16C06,5,2.26,2.65,0.8528301886792452,10763721,10763721,1.0,0.078357,FALSE,AG
343,BridgeAndVehicles-PT-V20P20N20,7,1.09,1.27,0.8582677165354331,19346453,19346453,1.0,0.013327,FALSE,EF
89,MultiCrashLeafsetExtension-PT-S16C04,16,1.54,1.79,0.8603351955307262,1135365,1135365,1.0,0.044736,FALSE,AG
413,JoinFreeModules-PT-0005,10,1.64,1.89,0.8677248677248677,8529637,8529637,1.0,6.1e-05,FALSE,EF
51,MultiCrashLeafsetExtension-PT-S32C03,1,3.51,4.02,0.873134328358209,3388759,3388759,1.0,0.527295,TRUE,EF
127,MultiCrashLeafsetExtension-PT-S16C07,1,8.36,9.55,0.8753926701570679,22688376,22688376,1.0,0.099721,TRUE,EF
355,BridgeAndVehicles-PT-V20P20N20,8,0.51,0.58,0.8793103448275863,34320763,34320763,1.0,0.013958,FALSE,AG
45,MultiCrashLeafsetExtension-PT-S32C03,7,3.89,4.42,0.8800904977375567,3388146,3388146,1.0,0.528711,FALSE,AG
130,MultiCrashLeafsetExtension-PT-S16C06,13,1.59,1.8,0.8833333333333333,10789093,10789093,1.0,0.078121,FALSE,AG
266,PhilosophersDyn-PT-20,8,0.54,0.6,0.9000000000000001,12961311,12961311,1.0,0.863609,FALSE,AG
354,BridgeAndVehicles-PT-V20P10N20,8,0.55,0.61,0.9016393442622952,31773043,31773043,1.0,0.013567,TRUE,EF
237,NeighborGrid-PT-d5n4m1t35,6,3.43,3.8,0.9026315789473685,200280065,200280065,1.0,300.0,FALSE,AG
296,DNAwalker-PT-03track12BlockBoth,5,3.58,3.94,0.9086294416243655,6416,6416,1.0,0.000194,FALSE,EF
112,MultiCrashLeafsetExtension-PT-S24C02,2,0.72,0.79,0.9113924050632911,91615,91615,1.0,0.103752,TRUE,AG
86,MultiCrashLeafsetExtension-PT-S16C05,4,16.48,18.07,0.9120088544548977,4027676,4027676,1.0,0.060731,TRUE,EF
248,PolyORBLF-PT-S02J04T06,13,0.86,0.94,0.9148936170212766,38364865,38364865,1.0,0.00262,TRUE,EF
347,BridgeAndVehicles-PT-V20P10N50,15,0.77,0.84,0.9166666666666667,4123760,4123760,1.0,0.078185,TRUE,AG
119,MultiCrashLeafsetExtension-PT-S16C07,11,43.46,47.12,0.9223259762308998,22726546,22726546,1.0,0.100058,TRUE,EF
16,MultiCrashLeafsetExtension-PT-S24C04,3,0.72,0.78,0.923076923076923,8427228,8427228,1.0,0.219524,FALSE,EF
47,MultiCrashLeafsetExtension-PT-S32C03,5,4.09,4.43,0.9232505643340858,3388351,3388351,1.0,0.5173,FALSE,AG
96,MultiCrashLeafsetExtension-PT-S16C04,2,21.57,23.31,0.9253539253539255,1136504,1136504,1.0,0.046597,TRUE,EF
14,MultiCrashLeafsetExtension-PT-S16C02,16,0.75,0.81,0.9259259259259258,28424,28424,1.0,0.022214,FALSE,EF
34,MultiCrashLeafsetExtension-PT-S24C02,14,0.52,0.56,0.9285714285714285,91589,91589,1.0,0.103365,TRUE,EF
351,BridgeAndVehicles-PT-V20P10N50,5,0.65,0.7,0.9285714285714287,31785879,31785879,1.0,0.071715,FALSE,AG
70,MultiCrashLeafsetExtension-PT-S24C02,10,4.03,4.34,0.9285714285714287,91578,91578,1.0,0.104936,TRUE,AG
64,MultiCrashLeafsetExtension-PT-S32C02,4,2.36,2.54,0.9291338582677164,211962,211962,1.0,0.343485,FALSE,EF
352,BridgeAndVehicles-PT-V20P10N50,4,2.77,2.98,0.9295302013422819,31785879,31785879,1.0,0.071347,TRUE,EF
33,MultiCrashLeafsetExtension-PT-S24C02,15,1.33,1.43,0.9300699300699301,91947,91947,1.0,0.102843,TRUE,AG
131,MultiCrashLeafsetExtension-PT-S16C06,12,60.55,65.08,0.9303933620159803,10764215,10764215,1.0,0.079416,FALSE,AG
124,MultiCrashLeafsetExtension-PT-S16C07,5,8.4,9.01,0.9322974472807992,22732085,22732085,1.0,0.099267,FALSE,AG
350,BridgeAndVehicles-PT-V20P10N50,6,2.07,2.22,0.9324324324324322,31785879,31785879,1.0,0.071253,TRUE,EF
100,MultiCrashLeafsetExtension-PT-S16C03,11,4.32,4.61,0.9370932754880694,226727,226727,1.0,0.032499,TRUE,AG
94,MultiCrashLeafsetExtension-PT-S16C04,9,3.14,3.35,0.9373134328358209,1135633,1135633,1.0,0.044819,TRUE,EF
192,SharedMemory-PT-000100,7,2.56,2.73,0.9377289377289377,19801,19801,1.0,7.08594,TRUE,AG
115,MultiCrashLeafsetExtension-PT-S16C07,15,56.0,59.59,0.9397549924483973,22689088,22689088,1.0,0.099625,FALSE,AG
92,MultiCrashLeafsetExtension-PT-S16C04,13,0.47,0.5,0.94,1135955,1135955,1.0,0.045156,FALSE,AG
121,MultiCrashLeafsetExtension-PT-S16C07,8,43.02,45.75,0.9403278688524591,22680359,22680359,1.0,0.100593,TRUE,EF
90,MultiCrashLeafsetExtension-PT-S16C04,15,21.64,22.99,0.9412788168769031,1135176,1135176,1.0,0.044711,TRUE,EF
218,PhilosophersDyn-PT-10,7,9.03,9.59,0.9416058394160584,617306,617306,1.0,0.034568,TRUE,AG
