,model name,query index,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,net size,with-r-last@reduce time,base-rules@answer
58,UtilityControlRoom-PT-Z2T3N06,14,0.05,0.11,0.4545454545454546,10362817,11511745,0.900195148520055,268,0.000404,FALSE
59,UtilityControlRoom-PT-Z2T4N06,10,0.09,0.11,0.8181818181818181,9269425,10296529,0.9002475494411758,268,0.000395,FALSE
60,UtilityControlRoom-PT-Z2T3N04,12,0.02,0.02,1.0,150829,167285,0.9016289565711212,180,0.000331,FALSE
61,UtilityControlRoom-PT-Z2T3N08,3,0.02,0.09,0.22222222222222224,548674561,608384001,0.9018556702644125,356,0.00064,TRUE
62,JoinFreeModules-PT-0050,12,0.03,0.08,0.375,2512401,2783116,0.9027295304974712,652,0.000572,FALSE
64,UtilityControlRoom-PT-Z2T3N08,10,0.02,0.06,0.33333333333333337,594584065,656906241,0.9051277456199415,356,0.000515,FALSE
63,UtilityControlRoom-PT-Z2T4N08,11,0.13,0.06,2.166666666666667,594584065,656906241,0.9051277456199415,356,0.000544,TRUE
65,UtilityControlRoom-PT-Z2T4N08,9,0.02,0.41,0.04878048780487805,662872897,731633601,0.9060175695785191,356,0.000554,FALSE
66,UtilityControlRoom-PT-Z2T4N06,9,0.01,0.3,0.03333333333333333,8092225,8921665,0.9070308064694202,268,0.000388,FALSE
67,UtilityControlRoom-PT-Z2T4N08,14,0.17,0.09,1.888888888888889,589405249,647901633,0.9097140969854601,356,0.000532,FALSE
68,UtilityControlRoom-PT-Z2T3N06,12,0.02,0.15,0.13333333333333333,13151809,14456257,0.9097658543286827,268,0.000502,FALSE
69,UtilityControlRoom-PT-Z2T3N08,11,0.05,0.15,0.33333333333333337,737994241,809181057,0.9120260967750262,356,0.000548,FALSE
70,UtilityControlRoom-PT-Z2T3N04,11,0.01,0.1,0.09999999999999999,119305,130649,0.9131719339604589,180,0.000267,FALSE
71,UtilityControlRoom-PT-Z2T4N08,10,0.07,0.1,0.7000000000000001,662872897,725578561,0.9135783947177568,356,0.000564,FALSE
72,UtilityControlRoom-PT-Z2T3N08,12,0.03,0.05,0.6,718891201,784209601,0.9167079822579219,356,0.000554,FALSE
73,UtilityControlRoom-PT-Z2T4N06,16,0.06,0.14,0.4285714285714285,11845441,12920257,0.9168115618752785,268,0.000418,FALSE
74,IBM5964-PT-none,11,0.02,0.26,0.07692307692307693,380,414,0.9178743961352657,402,0.000735,FALSE
75,UtilityControlRoom-PT-Z4T4N04,15,0.03,0.06,0.5,35942117,39088901,0.919496738984808,454,0.000764,FALSE
76,JoinFreeModules-PT-0020,9,0.01,0.01,1.0,83491,90796,0.9195449138728579,262,0.000221,TRUE
77,JoinFreeModules-PT-0020,4,0.01,20.16,0.000496031746031746,83491,90796,0.9195449138728579,262,0.000215,FALSE
78,UtilityControlRoom-PT-Z2T4N06,11,0.09,0.05,1.7999999999999998,10765009,11690353,0.920845503980932,268,0.000479,FALSE
79,MultiwaySync-PT-none,16,0.01,0.18,0.05555555555555556,399,433,0.9214780600461894,694,0.001585,FALSE
80,UtilityControlRoom-PT-Z2T3N08,15,0.03,0.16,0.1875,726900481,788113153,0.9223300971859304,356,0.000636,TRUE
81,UtilityControlRoom-PT-Z2T3N08,16,0.01,0.08,0.125,922295809,999174657,0.9230576481685123,356,0.000552,TRUE
82,DLCflexbar-PT-3a,16,0.02,0.04,0.5,48,52,0.9230769230769231,4472,0.025535,FALSE
83,Raft-PT-04,2,0.05,0.06,0.8333333333333334,2353,2545,0.9245579567779961,248,0.000656,TRUE
84,UtilityControlRoom-PT-Z4T4N04,5,0.04,0.18,0.22222222222222224,27991545,30239397,0.9256647875617361,454,0.000593,TRUE
85,UtilityControlRoom-PT-Z4T4N04,4,0.06,0.24,0.25,386937697,417700129,0.9263528309803323,454,0.000811,TRUE
86,UtilityControlRoom-PT-Z4T4N02,1,0.08,0.31,0.25806451612903225,203181,219237,0.9267641867020622,230,0.000374,TRUE
87,UtilityControlRoom-PT-Z2T4N02,13,0.04,0.04,1.0,917,989,0.9271991911021233,92,0.000163,TRUE
88,UtilityControlRoom-PT-Z2T4N04,5,0.06,0.04,1.5,370657,397985,0.931334095506112,180,0.000369,TRUE
89,UtilityControlRoom-PT-Z2T4N02,9,0.02,0.02,1.0,1038,1110,0.9351351351351351,92,0.000143,FALSE
90,DLCshifumi-PT-3a,10,0.01,0.33,0.030303030303030304,15,16,0.9375,3641,0.018516,TRUE
91,DLCshifumi-PT-3a,1,0.01,0.12,0.08333333333333334,15,16,0.9375,3641,0.016558,TRUE
92,UtilityControlRoom-PT-Z2T3N06,15,0.03,0.04,0.75,15690673,16710001,0.938998926451291,268,0.000325,FALSE
93,UtilityControlRoom-PT-Z2T4N04,3,0.08,0.05,1.5999999999999999,213921,227797,0.9390861161472714,180,0.000211,TRUE
94,UtilityControlRoom-PT-Z2T3N06,7,0.08,0.04,2.0,23912497,25450225,0.9395790017573519,268,0.000357,TRUE
95,UtilityControlRoom-PT-Z2T4N04,12,0.09,0.02,4.5,199347,212075,0.9399834964045739,180,0.000224,TRUE
96,UtilityControlRoom-PT-Z2T3N06,10,0.03,0.22,0.13636363636363635,14359681,15249601,0.9416430633168698,268,0.00042,FALSE
97,UtilityControlRoom-PT-Z2T3N06,3,0.01,0.1,0.09999999999999999,82740529,87388657,0.9468108544110021,268,0.000378,FALSE
98,UtilityControlRoom-PT-Z2T4N04,4,0.04,0.14,0.2857142857142857,792961,837077,0.9472975604394817,180,0.000263,FALSE
99,UtilityControlRoom-PT-Z4T4N02,6,0.06,0.18,0.3333333333333333,50141,52667,0.9520382782387453,230,0.000304,FALSE
100,UtilityControlRoom-PT-Z4T4N02,8,0.02,0.18,0.11111111111111112,50141,52667,0.9520382782387453,230,0.000281,FALSE
