"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M"
"ASLink-PT-02a","3","300.01","131352","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","0.10","7680","FALSE","FALSE","626","1008","626","1008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","5","0.09","7744","FALSE","FALSE","626","1008","626","1008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","6","300.01","168416","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","300.01","277836","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","0.22","7680","FALSE","FALSE","626","1008","626","1008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","9","300.00","168892","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","0.22","9204","FALSE","FALSE","1242","1621","1242","1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","10","300.01","188020","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","293.98","86600","TRUE","FALSE","1242","1621","1242","1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","12","300.00","90780","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","300.00","118032","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","14","300.00","177948","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","15","300.00","115184","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","16","300.00","117876","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","2","300.00","152968","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","3","300.00","103572","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","4","11.10","15440","FALSE","FALSE","1242","1621","1242","1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","5","0.21","9204","FALSE","FALSE","1242","1621","1242","1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","6","300.00","160500","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","7","0.50","9208","TRUE","FALSE","1242","1621","1242","1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","8","300.00","132396","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","9","0.23","9208","FALSE","FALSE","1242","1621","1242","1621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","1","300.01","199432","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","10","300.00","139616","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","11","300.00","117008","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","12","35.97","18000","FALSE","FALSE","821","1281","821","1281","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","13","300.01","225620","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","14","0.70","8620","FALSE","FALSE","821","1281","821","1281","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","15","0.71","8620","TRUE","FALSE","821","1281","821","1281","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","16","300.00","110140","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","2","0.12","8572","FALSE","FALSE","821","1281","821","1281","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","3","300.00","95624","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","4","300.01","217728","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","5","300.00","117452","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","6","300.00","154764","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","7","300.01","165832","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","8","0.29","8576","FALSE","FALSE","821","1281","821","1281","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","9","300.01","199052","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","1","300.01","297632","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","10","3.31","9896","FALSE","FALSE","1638","2094","1638","2094","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","11","300.00","172076","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","12","0.27","9900","FALSE","FALSE","1638","2094","1638","2094","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","13","0.26","9896","FALSE","FALSE","1638","2094","1638","2094","0","0","0","0","0","0","0","0","0","0","0","0","0"
